uuid,Timestamp,DNI_Value,water_temp_into_solar,water_temp_out_of_solar,energy_captured_by_solar,solar_efficiency,water_flow_rate,percent_water_pump_flow_rate_used,current_average_water_temp_in_water_container,current_thermal_energy_in_water_container,average_temp_of_water_sent_out_of_water_container,energy_sent_out_of_water_container,volume_of_water_sent_out_of_water_container,energy_consumed_by_heater,energy_absorbed_from_pipes
very_secure_uuid_2,2003-03-19T15:00,574.575,55.35589418091902,64.29643590235784,2792434.5,0.15,1.4929919999999999,0.0746496,57.02853004789816,47721473.94408118,50,0,0,0,2373569.325000001,0
very_secure_uuid_2,2003-03-19T16:00,518.255,57.02853004789816,63.74868617756541,2518719.3,0.15,1.7915903999999998,0.08957952,58.3952409680922,48865137.64209955,50,1046000,5,0,2140911.4050000003,0
very_secure_uuid_2,2003-03-19T17:00,480.07,58.3952409680922,63.58275379666976,2333140.2,0.15,2.1499084799999997,0.10749542399999998,59.5498813048011,49831340.67585756,50,2092000,10,0,1983169.1699999992,0
very_secure_uuid_2,2003-03-19T18:00,459.59000000000003,59.5498813048011,63.688390655670005,2233607.4,0.15,2.1499084799999997,0.10749542399999998,60.58234802406836,50695308.8265404,50,2092000,10,0,1898566.290000002,0
very_secure_uuid_2,2003-03-19T19:00,414.37000000000006,60.58234802406836,64.31366097630742,2013838.2000000002,0.15,2.1499084799999997,0.10749542399999998,61.37539420483938,51358929.87060959,50,2092000,10,0,1711762.4700000007,0
very_secure_uuid_2,2003-03-19T20:00,334.3,61.37539420483938,64.38569398506844,1624698.0,0.15,2.1499084799999997,0.10749542399999998,61.76520639005425,51685124.7071974,65,9518600,35,0,1380993.2999999996,0
very_secure_uuid_2,2003-03-19T21:00,46.815,61.76520639005425,62.18676542149734,227520.9,0.15,1.5049359359999996,0.07524679679999999,60.75638996504953,50840947.12275345,50,2092000,10,0,193392.76500000124,0
very_secure_uuid_2,2003-03-19T22:00,0.0,60.75638996504953,60.75638996504953,0.0,0.15,1.0534551551999998,0.05267275775999999,59.54126216574854,49824128.18029838,50,2092000,10,0,0.0,0
very_secure_uuid_2,2003-03-19T23:00,0.0,59.54126216574854,59.54126216574854,0.0,0.15,0.7374186086399998,0.03687093043199999,58.350436922433566,48827645.61669241,50,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T00:00,0.0,58.350436922433566,58.350436922433566,0.0,0.15,0.5161930260479998,0.02580965130239999,57.1834281839849,47851092.70435856,50,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T01:00,0.0,57.1834281839849,57.1834281839849,0.0,0.15,0.5,0.025,56.0397596203052,46894070.85027139,0,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T02:00,0.0,56.0397596203052,56.0397596203052,0.0,0.15,0.5,0.025,54.91896442789909,45956189.43326596,0,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T03:00,0.0,54.91896442789909,54.91896442789909,0.0,0.15,0.5,0.025,53.82058513934111,45037065.644600645,0,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T04:00,0.0,53.82058513934111,53.82058513934111,0.0,0.15,0.5,0.025,52.74417343655429,44136324.33170863,0,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T05:00,0.0,52.74417343655429,52.74417343655429,0.0,0.15,0.5,0.025,51.68928996782321,43253597.84507446,0,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T06:00,0.0,51.68928996782321,51.68928996782321,0.0,0.15,0.5,0.025,50.65550416846674,42388525.88817297,0,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T07:00,0.0,50.65550416846674,50.65550416846674,0.0,0.15,0.5,0.025,49.64239408509741,41540755.3704095,0,0,0,0,0.0,0
very_secure_uuid_2,2003-03-20T08:00,0.0,49.64239408509741,49.64239408509741,0.0,0.15,0.5,0.025,50,41840000,38,8744560,55,-11018372.982664913,0.0,0
very_secure_uuid_2,2003-03-20T09:00,0.0,50,50.0,0.0,0.15,0.5,0.025,50,41840000,50,2092000,10,-3514560.0,0.0,0
very_secure_uuid_2,2003-03-20T10:00,174.82,50,56.768843212237094,849625.2,0.15,0.6,0.03,50,41840000,50,2092000,10,-2570909.611200005,722181.4199999999,0
very_secure_uuid_2,2003-03-20T11:00,318.49,50,60.27632648183556,1547861.3999999997,0.15,0.72,0.036,50,41840000,30,2510400,20,-1962761.9383999903,1315682.1899999995,0
very_secure_uuid_2,2003-03-20T12:00,392.50999999999993,50,60.553865917782026,1907598.5999999996,0.15,0.864,0.0432,50.898935986854674,42592229.63379999,50,0,0,0,1621458.8099999998,0
very_secure_uuid_2,2003-03-20T13:00,425.555,50.898935986854674,60.43425655329827,2068197.2999999996,0.15,1.0368,0.05184,50,41840000,15,3765600,60,-513502.14396802586,1757967.705,0
very_secure_uuid_2,2003-03-20T14:00,446.425,50,58.33579185587954,2169625.5,0.15,1.24416,0.062208,51.15977299414436,42810498.0415,50,0,0,0,1844181.6749999996,0
very_secure_uuid_2,2003-03-20T15:00,481.48499999999996,51.15977299414436,58.65180924832696,2340017.0999999996,0.15,1.4929919999999999,0.0746496,52.465968361579826,43903522.32497,50,0,0,0,1989014.535,0
very_secure_uuid_2,2003-03-20T16:00,515.2,52.465968361579826,59.14651063903893,2503872.0,0.15,1.7915903999999998,0.08957952,53.90915063870769,45111177.2544706,50,1046000,5,0,2128291.1999999997,0
very_secure_uuid_2,2003-03-20T17:00,510.57,53.90915063870769,59.42623861522538,2481370.1999999997,0.15,2.1499084799999997,0.10749542399999998,55.3010696534192,46275935.08598118,50,2092000,10,0,2109164.67,0
very_secure_uuid_2,2003-03-20T18:00,477.69500000000005,55.3010696534192,59.60261064509291,2321597.6999999997,0.15,2.1499084799999997,0.10749542399999998,56.50610333217204,47284307.26836157,50,2092000,10,0,1973358.0449999997,0
very_secure_uuid_2,2003-03-20T19:00,437.83500000000004,56.50610333217204,60.44871357529675,2127878.1,0.15,2.1499084799999997,0.10749542399999998,57.49419643916626,48111143.580294326,50,2092000,10,0,1808696.3849999993,0
